,"Financial & Fraud & Detection (financial, datum)","Financial & Analysis & Prediction (market, financial)","Healthcare & Prediction & Hospital (analytic, healthcare)","Data Science & Datum & Algorithm (analysis, prediction)","Data Science & Visualization & Datum (matplotlib, science)","Language & Generation (token, natural)","Energy & Efficiency & Hydroelectric (generation, energy)","Datum & Computation (big, spark)","Optimization & Policy (reinforcement, reward)","Energy & Optimization & Grid (consumption, analysis)","Energy & Technology & Energy (battery, efficiency)","Energy & Impact & Carbon (datum, emission)","Transaction & Distribute (smart, blockchain)","Financial & Fintech & Technology (digital, banking)","AI & Medical & Detection (imaging, deep)","AI & Datum & Artificial (neural, intelligence)","Healthcare & Patient & Effectiveness (treatment, outcome)","AI & Classification & Prediction (regression, machine)"
"Financial & Fraud & Detection (financial, datum)",1.0,0.4583333333333333,0.14814814814814814,0.2641509433962264,0.3125,0.2,0.1724137931034483,0.37037037037037035,0.2962962962962963,0.32,0.16666666666666666,0.2692307692307692,0.3076923076923077,0.19230769230769232,0.3333333333333333,0.41935483870967744,0.3333333333333333,0.38461538461538464
"Financial & Analysis & Prediction (market, financial)",0.4583333333333333,1.0,0.18518518518518517,0.21428571428571427,0.30303030303030304,0.19444444444444445,0.25,0.3103448275862069,0.2413793103448276,0.4166666666666667,0.2413793103448276,0.36,0.4,0.28,0.23333333333333334,0.36363636363636365,0.32,0.32142857142857145
"Healthcare & Prediction & Hospital (analytic, healthcare)",0.14814814814814814,0.18518518518518517,1.0,0.16363636363636364,0.14705882352941177,0.18181818181818182,0.19230769230769232,0.13333333333333333,0.18518518518518517,0.2,0.18518518518518517,0.15384615384615385,0.19230769230769232,0.16666666666666666,0.2692307692307692,0.1388888888888889,0.20833333333333334,0.17857142857142858
"Data Science & Datum & Algorithm (analysis, prediction)",0.2641509433962264,0.21428571428571427,0.16363636363636364,1.0,0.36363636363636365,0.171875,0.15517241379310345,0.1864406779661017,0.19298245614035087,0.2,0.15254237288135594,0.17857142857142858,0.17543859649122806,0.16363636363636364,0.2777777777777778,0.4807692307692308,0.22641509433962265,0.3018867924528302
"Data Science & Visualization & Datum (matplotlib, science)",0.3125,0.30303030303030304,0.14705882352941177,0.36363636363636365,1.0,0.19047619047619047,0.2,0.3235294117647059,0.30303030303030304,0.3225806451612903,0.19444444444444445,0.28125,0.2727272727272727,0.18181818181818182,0.3333333333333333,0.3333333333333333,0.2903225806451613,0.3333333333333333
"Language & Generation (token, natural)",0.2,0.19444444444444445,0.18181818181818182,0.171875,0.19047619047619047,1.0,0.3125,0.25,0.34375,0.3225806451612903,0.30303030303030304,0.17142857142857143,0.2,0.18181818181818182,0.29411764705882354,0.23809523809523808,0.14285714285714285,0.2571428571428571
"Energy & Efficiency & Hydroelectric (generation, energy)",0.1724137931034483,0.25,0.19230769230769232,0.15517241379310345,0.2,0.3125,1.0,0.1935483870967742,0.2962962962962963,0.375,0.4583333333333333,0.2222222222222222,0.25925925925925924,0.24,0.2,0.1891891891891892,0.18518518518518517,0.2413793103448276
"Datum & Computation (big, spark)",0.37037037037037035,0.3103448275862069,0.13333333333333333,0.1864406779661017,0.3235294117647059,0.25,0.1935483870967742,1.0,0.26666666666666666,0.3333333333333333,0.1875,0.2857142857142857,0.27586206896551724,0.1724137931034483,0.25806451612903225,0.3055555555555556,0.2962962962962963,0.25806451612903225
"Optimization & Policy (reinforcement, reward)",0.2962962962962963,0.2413793103448276,0.18518518518518517,0.19298245614035087,0.30303030303030304,0.34375,0.2962962962962963,0.26666666666666666,1.0,0.36,0.3333333333333333,0.21428571428571427,0.25,0.23076923076923078,0.37037037037037035,0.3235294117647059,0.17857142857142858,0.4230769230769231
"Energy & Optimization & Grid (consumption, analysis)",0.32,0.4166666666666667,0.2,0.2,0.3225806451612903,0.3225806451612903,0.375,0.3333333333333333,0.36,1.0,0.4166666666666667,0.391304347826087,0.43478260869565216,0.25,0.25,0.30303030303030304,0.34782608695652173,0.25
"Energy & Technology & Energy (battery, efficiency)",0.16666666666666666,0.2413793103448276,0.18518518518518517,0.15254237288135594,0.19444444444444445,0.30303030303030304,0.4583333333333333,0.1875,0.3333333333333333,0.4166666666666667,1.0,0.21428571428571427,0.25,0.3333333333333333,0.1935483870967742,0.18421052631578946,0.17857142857142858,0.23333333333333334
"Energy & Impact & Carbon (datum, emission)",0.2692307692307692,0.36,0.15384615384615385,0.17857142857142858,0.28125,0.17142857142857143,0.2222222222222222,0.2857142857142857,0.21428571428571427,0.391304347826087,0.21428571428571427,1.0,0.32,0.2,0.25,0.2647058823529412,0.2916666666666667,0.20689655172413793
"Transaction & Distribute (smart, blockchain)",0.3076923076923077,0.4,0.19230769230769232,0.17543859649122806,0.2727272727272727,0.2,0.25925925925925924,0.27586206896551724,0.25,0.43478260869565216,0.25,0.32,1.0,0.34782608695652173,0.2413793103448276,0.29411764705882354,0.28,0.2857142857142857
"Financial & Fintech & Technology (digital, banking)",0.19230769230769232,0.28,0.16666666666666666,0.16363636363636364,0.18181818181818182,0.18181818181818182,0.24,0.1724137931034483,0.23076923076923078,0.25,0.3333333333333333,0.2,0.34782608695652173,1.0,0.17857142857142858,0.20588235294117646,0.16,0.2692307692307692
"AI & Medical & Detection (imaging, deep)",0.3333333333333333,0.23333333333333334,0.2692307692307692,0.2777777777777778,0.3333333333333333,0.29411764705882354,0.2,0.25806451612903225,0.37037037037037035,0.25,0.1935483870967742,0.25,0.2413793103448276,0.17857142857142858,1.0,0.35294117647058826,0.21428571428571427,0.4074074074074074
"AI & Datum & Artificial (neural, intelligence)",0.41935483870967744,0.36363636363636365,0.1388888888888889,0.4807692307692308,0.3333333333333333,0.23809523809523808,0.1891891891891892,0.3055555555555556,0.3235294117647059,0.30303030303030304,0.18421052631578946,0.2647058823529412,0.29411764705882354,0.20588235294117646,0.35294117647058826,1.0,0.2727272727272727,0.5333333333333333
"Healthcare & Patient & Effectiveness (treatment, outcome)",0.3333333333333333,0.32,0.20833333333333334,0.22641509433962265,0.2903225806451613,0.14285714285714285,0.18518518518518517,0.2962962962962963,0.17857142857142858,0.34782608695652173,0.17857142857142858,0.2916666666666667,0.28,0.16,0.21428571428571427,0.2727272727272727,1.0,0.1724137931034483
"AI & Classification & Prediction (regression, machine)",0.38461538461538464,0.32142857142857145,0.17857142857142858,0.3018867924528302,0.3333333333333333,0.2571428571428571,0.2413793103448276,0.25806451612903225,0.4230769230769231,0.25,0.23333333333333334,0.20689655172413793,0.2857142857142857,0.2692307692307692,0.4074074074074074,0.5333333333333333,0.1724137931034483,1.0
